Gene	DEN_AdjLiver_fasted	DEN_AdjLiver_fed	nonDEN_Liver_fasted	nonDEN_Liver_fed	DEN_Tumour_fasted	DEN_Tumour_fed	nonDEN_Tumour_fasted
ENSMUSG00000000934	13.03	12.78	13.54	15.6	10.4	13.68	20.2
ENSMUSG00000000938	0.0	0.04	0.0	0.0	0.0	0.03	0.0
ENSMUSG00000000942	0.49	0.37	0.58	0.69	0.48	0.53	0.43
ENSMUSG00000000948	0.61	0.58	0.39	0.78	0.8	0.44	0.2
ENSMUSG00000000957	24.28	61.39	51.4	44.66	51.26	32.9	45.71
ENSMUSG00000000958	5.01	12.35	6.46	7.68	16.95	12.35	6.52
ENSMUSG00000000959	19.04	20.32	23.89	21.16	20.1	19.57	22.04
ENSMUSG00000000976	4.1	4.32	4.69	4.98	4.6	4.36	4.33
ENSMUSG00000000982	2.89	17.38	3.15	5.28	2.28	1.73	1.15
ENSMUSG00000000983	0.25	0.46	2.77	2.92	0.56	0.82	1.09
ENSMUSG00000001014	0.41	0.42	0.59	0.32	0.62	0.37	0.12
ENSMUSG00000001016	9.8	18.58	16.89	15.24	11.64	12.26	13.94
ENSMUSG00000001017	33.72	37.1	32.97	39.29	35.04	34.92	28.33
ENSMUSG00000001018	18.35	16.79	21.45	18.91	17.46	14.86	15.87
ENSMUSG00000001020	24.44	33.54	31.73	28.76	27.7	16.91	15.45
ENSMUSG00000001021	0.15	0.25	0.16	0.1	0.0	0.09	0.06
ENSMUSG00000001025	35.0	98.75	31.98	43.48	51.19	21.68	25.08
ENSMUSG00000001027	0.48	0.03	0.06	0.19	0.02	0.42	0.31
ENSMUSG00000001029	4.88	5.66	4.62	6.2	7.12	6.84	7.23
ENSMUSG00000001034	2.52	2.43	2.92	2.57	2.58	2.66	2.64
ENSMUSG00000001036	4.19	11.09	5.03	5.74	7.09	6.53	5.48
ENSMUSG00000001039	2.03	2.8	3.53	4.0	1.4	1.87	1.94
ENSMUSG00000001052	11.63	17.05	15.55	15.21	13.16	11.99	12.29
ENSMUSG00000001053	2.11	3.84	2.56	3.08	3.86	2.48	3.21
ENSMUSG00000001054	8.27	8.98	8.98	11.65	7.7	9.04	10.4
ENSMUSG00000001056	27.32	39.95	32.22	33.49	27.23	28.78	38.04
ENSMUSG00000001062	5.39	7.17	7.35	6.59	5.81	4.89	6.1
ENSMUSG00000001065	7.43	6.65	9.41	6.27	5.6	6.72	6.71
ENSMUSG00000001076	0.21	0.17	0.12	0.24	0.16	0.23	0.34
ENSMUSG00000001082	4.28	4.78	6.05	6.06	5.11	3.97	4.25
ENSMUSG00000001089	6.11	7.07	8.31	9.29	7.88	7.39	7.48
ENSMUSG00000001095	0.21	0.58	0.17	0.21	0.27	0.47	0.01
ENSMUSG00000001098	9.5	15.45	12.87	15.69	13.74	11.63	13.42
ENSMUSG00000001100	58.9	57.66	65.13	62.3	56.72	51.25	60.81
ENSMUSG00000001103	0.68	0.4	0.58	0.48	0.4	0.48	0.52
ENSMUSG00000001105	62.81	109.85	68.61	65.15	68.61	68.23	56.0
ENSMUSG00000001119	8.63	4.72	17.9	16.1	8.3	4.64	7.13
ENSMUSG00000001120	1.07	1.0	1.4	1.49	1.32	1.63	0.91
ENSMUSG00000001123	487.3	551.98	548.46	648.24	442.58	618.76	418.65
ENSMUSG00000001127	34.39	37.91	34.03	36.62	37.29	32.54	29.56
ENSMUSG00000001128	28.36	28.16	28.92	35.14	29.82	46.07	28.36
ENSMUSG00000001131	9.35	9.0	11.57	14.27	9.16	4.2	3.01
ENSMUSG00000001134	28.35	34.75	31.48	30.94	31.83	32.08	29.63
ENSMUSG00000001138	4.2	4.97	5.5	6.65	4.23	4.43	9.44
ENSMUSG00000001143	8.7	12.83	7.14	9.3	9.38	8.26	6.3
ENSMUSG00000001150	10.77	14.96	12.51	13.21	12.5	11.32	12.05
ENSMUSG00000001151	4.82	5.21	4.9	5.15	6.33	4.59	3.87
ENSMUSG00000001155	181.79	146.45	184.74	174.47	166.18	156.79	165.68
ENSMUSG00000001156	2.6	2.51	2.19	2.81	3.45	2.89	2.14
ENSMUSG00000001157	7.5	8.16	7.45	7.85	7.55	7.51	9.89
ENSMUSG00000001158	33.67	47.31	39.15	33.53	32.46	33.82	30.11
ENSMUSG00000001166	1.68	1.15	2.09	1.49	2.29	1.67	2.21
ENSMUSG00000001173	3.09	2.82	3.54	3.3	3.64	3.1	1.88
ENSMUSG00000001175	117.29	138.31	104.82	135.21	105.62	125.57	106.26
ENSMUSG00000001211	137.13	151.11	175.0	153.29	146.9	118.82	130.18
ENSMUSG00000001225	0.03	0.19	0.15	0.22	0.06	0.23	0.0
ENSMUSG00000001227	2.23	4.66	1.86	2.39	5.45	5.33	1.76
ENSMUSG00000001228	2.35	5.23	1.54	2.29	2.93	3.11	1.06
ENSMUSG00000001229	19.45	25.19	21.99	31.61	23.51	26.12	17.3
ENSMUSG00000001240	17.93	14.96	19.03	21.0	19.03	21.5	14.1
ENSMUSG00000001247	88.9	123.66	87.37	126.34	136.23	119.54	153.27
ENSMUSG00000001248	9.76	17.96	9.99	10.94	12.15	7.47	8.83
ENSMUSG00000001249	223.39	196.97	186.01	209.68	220.91	199.02	180.12
ENSMUSG00000001260	0.01	0.05	0.02	0.0	0.13	0.04	0.0
ENSMUSG00000001270	11.18	8.83	15.59	14.39	12.16	9.52	9.46
ENSMUSG00000001280	11.27	11.98	12.02	12.2	14.45	11.65	10.49
ENSMUSG00000001281	1.48	2.59	2.15	2.24	2.65	1.39	2.16
ENSMUSG00000001285	15.73	19.89	18.37	18.0	16.58	16.35	22.51
ENSMUSG00000001288	4.64	10.35	7.84	5.37	10.64	6.87	8.83
ENSMUSG00000001289	160.04	183.32	206.13	148.37	155.68	147.15	172.79
ENSMUSG00000001300	1.58	1.83	2.31	3.02	3.3	2.6	1.98
ENSMUSG00000001305	11.49	12.38	14.44	13.37	11.1	13.0	16.65
ENSMUSG00000001313	13.44	19.21	13.31	20.92	9.73	14.78	15.37
ENSMUSG00000001323	60.29	61.37	59.96	63.22	50.86	55.52	46.96
ENSMUSG00000001333	0.17	0.17	0.46	0.25	0.19	0.21	0.4
ENSMUSG00000001334	0.65	0.34	1.69	1.11	0.46	0.54	3.85
ENSMUSG00000001348	126.47	107.49	131.93	146.61	125.44	120.84	135.13
ENSMUSG00000001349	1.57	1.15	0.86	2.23	0.76	1.04	0.37
ENSMUSG00000001366	39.28	40.19	46.14	44.63	39.68	41.89	31.1
ENSMUSG00000001376	6.97	7.33	6.84	8.25	7.67	7.18	6.52
ENSMUSG00000001380	22.64	33.14	28.07	26.15	25.81	24.31	30.43
ENSMUSG00000001383	29.86	27.89	25.75	22.67	21.57	21.96	27.19
ENSMUSG00000001403	3.29	22.39	3.16	18.86	9.22	12.06	3.98
ENSMUSG00000001415	14.8	19.75	14.96	15.3	14.15	13.65	14.33
ENSMUSG00000001416	93.73	144.04	102.96	112.32	98.29	104.4	110.61
ENSMUSG00000001418	100.8	119.11	106.29	110.35	114.89	96.4	99.09
ENSMUSG00000001419	8.25	18.25	14.62	14.1	9.79	10.04	15.61
ENSMUSG00000001420	1.51	2.04	1.54	2.54	1.63	1.88	2.63
ENSMUSG00000001424	57.29	79.8	52.05	58.28	94.02	64.79	47.08
ENSMUSG00000001435	231.81	210.11	273.6	254.95	224.01	198.15	183.23
ENSMUSG00000001436	4.02	4.45	3.42	2.79	3.98	2.93	3.57
ENSMUSG00000001440	40.56	53.72	45.11	59.72	45.19	50.88	40.33
ENSMUSG00000001441	14.26	16.35	15.28	17.4	16.21	13.74	15.24
ENSMUSG00000001444	0.28	0.6	0.39	0.34	0.29	0.22	0.21
ENSMUSG00000001445	35.35	37.41	37.1	42.53	34.01	36.44	40.01
ENSMUSG00000001467	25.5	82.28	13.37	75.74	71.75	123.19	14.01
ENSMUSG00000001472	105.04	128.24	123.02	141.9	100.37	114.3	94.34
ENSMUSG00000001473	17.2	32.48	17.68	29.43	37.68	29.25	16.01
ENSMUSG00000001482	29.95	23.18	27.36	28.91	25.71	23.42	21.88
ENSMUSG00000001493	0.33	2.12	2.39	2.01	0.87	1.2	1.1
ENSMUSG00000001494	0.0	0.02	0.01	0.0	0.0	0.06	0.0
ENSMUSG00000001497	0.02	0.02	0.0	0.05	0.02	0.0	0.01
ENSMUSG00000001504	0.0	0.0	0.0	0.02	0.11	0.2	0.0
ENSMUSG00000001506	19.01	22.49	30.55	38.3	31.91	14.05	13.18
ENSMUSG00000001507	3.89	11.94	4.42	5.39	14.09	8.07	2.29
ENSMUSG00000001508	0.3	0.03	0.2	0.24	0.21	0.57	0.0
ENSMUSG00000001510	0.19	1.47	0.0	0.02	0.5	0.71	0.0
ENSMUSG00000001517	0.54	3.3	0.76	2.27	1.3	2.05	1.02
ENSMUSG00000001518	6.39	7.32	7.88	6.72	6.13	8.71	4.44
ENSMUSG00000001520	0.73	0.84	0.75	0.62	3.41	1.68	0.65
ENSMUSG00000001521	1.07	1.1	2.18	1.81	1.16	1.06	1.13
ENSMUSG00000001524	10.34	10.2	11.28	11.63	10.18	12.22	9.63
ENSMUSG00000001525	44.1	97.32	49.69	64.96	67.01	65.67	44.94
ENSMUSG00000001542	31.34	32.05	31.16	32.84	31.85	33.35	21.78
ENSMUSG00000001552	22.53	18.11	25.4	25.02	25.42	23.86	25.26
ENSMUSG00000001555	1.58	1.56	2.72	4.25	2.48	1.66	2.0
ENSMUSG00000001558	0.03	0.04	0.1	0.07	0.06	0.08	0.0
ENSMUSG00000001566	0.0	0.0	0.0	0.0	0.0	0.02	0.0
ENSMUSG00000001569	11.87	8.55	10.68	9.87	9.03	8.52	9.4
ENSMUSG00000001576	41.48	53.48	45.88	59.85	45.46	50.98	41.27
ENSMUSG00000001583	0.21	0.1	0.4	0.46	0.14	0.1	0.15
ENSMUSG00000001588	1.55	2.6	2.66	2.19	1.46	1.49	1.49
ENSMUSG00000001604	73.77	79.92	79.1	93.24	68.41	70.46	90.83
ENSMUSG00000001622	4.17	0.65	0.06	0.22	28.36	19.52	0.16
ENSMUSG00000001627	24.95	18.84	22.27	40.62	34.35	32.98	13.23
ENSMUSG00000001630	9.31	17.82	7.32	13.75	8.04	8.97	7.22
ENSMUSG00000001632	4.27	5.59	5.65	5.24	5.01	4.86	4.8
ENSMUSG00000001642	26.5	84.73	25.6	25.84	81.61	65.35	17.02
ENSMUSG00000001655	0.0	0.0	0.0	0.0	0.03	0.0	0.0
ENSMUSG00000001657	0.17	0.02	0.06	0.06	0.02	0.59	0.02
ENSMUSG00000001661	0.06	0.2	0.14	0.37	0.08	0.54	0.16
ENSMUSG00000001663	290.04	430.61	368.63	372.58	283.98	426.84	284.42
ENSMUSG00000001665	36.87	44.6	25.44	39.0	28.27	33.33	40.43
ENSMUSG00000001666	653.93	551.37	507.85	535.79	477.35	468.53	490.15
ENSMUSG00000001670	412.79	423.39	759.2	691.39	284.01	481.38	358.27
ENSMUSG00000001672	0.77	1.02	1.6	1.63	2.28	1.42	0.47
ENSMUSG00000001674	15.96	24.17	19.58	15.9	17.92	18.31	21.71
ENSMUSG00000001687	50.91	62.21	65.76	61.92	56.58	55.29	85.26
ENSMUSG00000001700	23.78	25.93	23.59	33.56	19.87	24.95	27.27
ENSMUSG00000001707	20.48	21.45	16.57	18.95	19.57	18.62	18.4
ENSMUSG00000001729	34.14	45.71	38.31	38.78	35.29	31.25	36.5
ENSMUSG00000001739	0.75	0.5	0.78	0.88	1.49	1.47	0.29
ENSMUSG00000001741	2.74	4.79	4.37	4.46	3.74	3.33	3.38
ENSMUSG00000001750	20.44	28.31	25.29	25.16	20.95	21.04	34.01
ENSMUSG00000001751	13.02	11.52	13.41	15.22	15.84	12.26	15.08
ENSMUSG00000001755	86.49	96.53	105.75	104.77	79.65	69.58	85.3
ENSMUSG00000001761	3.47	3.88	4.38	4.32	7.83	5.3	1.68
ENSMUSG00000001763	4.48	7.6	4.87	3.45	9.4	6.48	0.96
ENSMUSG00000001767	8.34	12.26	8.49	10.51	9.16	9.92	11.44
ENSMUSG00000001768	7.87	5.94	9.63	9.36	7.89	7.22	11.22
ENSMUSG00000001773	0.17	0.1	0.32	0.31	0.15	0.11	0.07
ENSMUSG00000001774	42.05	46.57	28.8	43.31	35.16	47.22	34.01
ENSMUSG00000001783	52.05	80.43	66.96	63.25	58.2	53.35	60.44
ENSMUSG00000001785	10.89	14.84	13.45	13.5	11.46	11.81	12.08
ENSMUSG00000001786	11.72	13.64	14.58	14.98	12.06	12.72	12.24
ENSMUSG00000001794	170.82	178.08	185.59	202.3	174.8	163.48	135.9
ENSMUSG00000001802	7.84	9.46	8.86	7.63	7.47	6.95	9.59
ENSMUSG00000001804	0.01	0.0	0.01	0.0	0.04	0.01	0.0
ENSMUSG00000001827	0.43	0.95	1.15	1.42	0.25	0.65	0.1
ENSMUSG00000001829	31.41	34.04	35.14	39.37	26.46	30.79	21.77
ENSMUSG00000001833	48.74	52.99	37.24	65.64	58.35	57.37	32.37
ENSMUSG00000001844	16.22	15.8	20.02	18.69	17.06	17.04	19.53
ENSMUSG00000001847	142.6	159.86	138.02	171.61	169.71	155.96	167.72
ENSMUSG00000001855	8.53	8.64	10.67	9.23	9.06	9.41	9.94
ENSMUSG00000001864	1.43	0.79	2.54	0.71	0.76	0.4	0.28
ENSMUSG00000001865	0.2	18.75	0.22	6.48	0.19	0.6	0.1
ENSMUSG00000001870	2.08	1.66	4.96	4.32	1.82	1.46	1.96
ENSMUSG00000001891	360.56	494.51	303.06	367.68	398.92	451.9	201.47
ENSMUSG00000001901	0.0	0.0	0.0	0.01	0.0	0.0	0.0
ENSMUSG00000001909	18.83	24.6	21.05	24.91	26.51	20.73	18.43
ENSMUSG00000001910	11.97	18.05	13.91	16.25	14.61	14.07	14.42
ENSMUSG00000001911	31.1	30.13	32.09	27.94	28.27	25.52	21.3
ENSMUSG00000001918	4.88	32.87	3.63	3.8	3.36	10.37	1.77
ENSMUSG00000001924	70.67	85.0	81.4	92.6	76.47	82.07	68.32
ENSMUSG00000001930	5.92	5.44	9.02	9.76	7.26	7.25	5.51
ENSMUSG00000001942	30.85	23.78	32.37	33.87	26.85	22.82	41.48
ENSMUSG00000001943	0.75	0.56	0.51	0.41	0.6	1.09	0.26
ENSMUSG00000001946	9.42	16.6	10.62	11.8	12.54	11.78	14.03
ENSMUSG00000001948	2.77	3.42	3.51	3.65	3.32	2.12	5.15
ENSMUSG00000001962	19.58	23.09	23.58	25.72	19.27	18.88	23.24
ENSMUSG00000001964	15.5	18.48	18.2	18.56	14.51	13.73	11.89
ENSMUSG00000001983	21.02	21.6	22.36	22.41	19.85	17.74	26.16
ENSMUSG00000001985	0.01	0.03	0.06	0.01	0.02	0.02	0.0
ENSMUSG00000001986	1.15	2.24	0.93	1.85	4.96	5.51	0.29
ENSMUSG00000001988	0.0	0.0	0.03	0.0	0.0	0.0	0.0
ENSMUSG00000001995	1.88	3.15	1.68	1.33	1.92	2.09	1.1
ENSMUSG00000001998	2.57	3.24	2.06	2.68	2.97	2.64	2.57
ENSMUSG00000001999	19.55	22.94	19.71	23.68	18.89	20.74	23.18
ENSMUSG00000002006	0.19	0.13	0.49	0.4	0.21	0.15	0.32
ENSMUSG00000002007	0.36	0.26	0.19	0.23	0.14	0.1	0.14
ENSMUSG00000002010	78.12	70.4	85.94	82.96	59.71	67.63	77.44
ENSMUSG00000002012	0.29	0.28	0.95	0.4	0.99	0.34	0.29
