taxa	HCC118	HCC121	HCC108	HCC119	HCC111	HCC103	HCC126	HCC113	HCC117	HCC106	HCC120	HCC124	HCC122	HCC107	HCC109	HCC125	HCC115	HCC114	HCC102	combined	HCC110	HCC101	HCC116	HCC112	HCC105	HCC123	HCC104	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	3.57277	32.10633	1.25333	2.1889	4.79413	0.79492	7.11659	0.72951	6.79557	1.08573	1.13823	13.53258	34.25451	2.41286	1.43391	24.1417	1.79395	0.14408	1.27235	32.10633	1.12094	5.55973	2.69825	0.83114	3.79968	15.77704	1.15956	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae	0.00607	0	0	0.00145	0	0	0	0	0.00264	0	0	0	0	0.01355	0	0	0.00931	0	0	0	0	0	0.08086	0	0	0	0	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_ASF502	0.01482	0	0.07431	0.01258	0.02725	0.2473	0.00712	0	0.00161	0.16541	0.01754	0.02642	0.0296	0.0258	0.01008	0	0.04974	0.01352	0.19287	0	0.06492	0.00637	0.06957	0.09455	0.00091	0	0.21771	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Dubosiella|s__Dubosiella_newyorkensis	11.25204	10.3643	1.23235	7.62931	13.2496	4.38443	5.56775	0.59773	19.90669	5.74571	2.2955	22.2056	5.74827	2.58495	4.03185	20.77563	0	0.22201	2.85214	0	4.04444	9.45033	0	4.36501	14.58941	41.07403	3.01959	
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	11.92871	3.96348	2.20501	42.23206	15.64367	0.01	2.75233	0.42023	29.97625	0	8.66418	0.0346	3.25674	2.73965	6.36308	5.58845	0.001	0.14937	0.01686	3.96348	14.7598	0.14541	0.00626	5.10069	0	0.05244	0	
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	5.172	12.62741	0.22274	3.5849	5.09857	0.97965	4.05156	0.29405	6.25195	0.59932	0.82637	6.1741	14.00585	0.24347	0.4411	9.13939	0.3689	0.02214	0.66369	12.62741	0.79498	1.80591	0.27221	2.56015	1.31464	9.08061	0.67862	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_murinus	0.13094	0.46742	0.02614	0.48747	0.43538	0.05243	0.13588	0.56114	0.19644	0.26334	0.16082	0.04716	0.1287	0.07139	0.16965	0.42798	0.33114	0.08824	0.21378	0.46742	0.19313	0.80778	0.37061	0.09432	0.93893	0.07404	0.06504	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Romboutsia	0	0	0.00561	0	0	0.01334	0	0	0	0.01935	0	0	0	0.07668	0.00328	0	2.4389	0.00277	0.0466	0	0	0.25094	1.69713	0	0.17831	0	0.01031	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Lachnospiraceae_bacterium_3_2	0.04709	0	0.04206	0.02906	0.07076	0	0.01389	0	0.05591	0	0.03274	0.017	0.03022	0.01826	0.02342	0.0014	0.04756	0.01048	0	0	0.05637	0	0.05887	0.0756	0	0.00558	0	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Enterorhabdus	0.50804	1.89078	0.62878	1.75141	2.47812	1.30697	1.00747	0.52308	1.27404	1.31896	0.34939	1.1505	1.65252	0.47227	0.60394	3.19915	1.77666	0.30872	0.565	1.89078	1.23958	1.06318	1.35646	1.53455	1.79077	3.01188	0.52225	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_ASF500	0	0	0.01903	0.00469	0	0.01567	0.00355	0	0.00046	0.00896	0.0039	0.00425	0.03558	0.00276	0.00853	0	0.00696	0.00348	0.03302	0	0.01336	0.01113	0.01966	0.00755	0.00221	0	0.01908	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_lentus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00931	0	0	0	0	0	0.08086	0	0	0	0	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	0	0	0	0	0	0	0	0.05956	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Acetatifactor|s__Acetatifactor_muris	0	0	0	0	0	0.18898	0	0	0	0.06599	0	0	0	0.00148	0.01729	0	0	0.01949	0.10504	0	0.01404	0.01275	0	0.01872	0	0	0.18244	
k__Bacteria|p__Proteobacteria	6.23701	0.63679	4.54377	4.85191	2.90216	6.64773	0	16.8874	12.50795	5.74428	1.41732	0.00537	0	8.60831	4.8714	0	0	2.05812	5.53627	0.63679	3.45584	16.41968	0	0.52979	27.8874	0.00635	13.44013	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Enterobacter	0	0	0	0	0	0	0	0.05956	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified	47.40086	4.38494	49.84882	28.2895	38.58079	72.07434	64.96628	38.84426	17.0021	74.66716	74.77521	50.53527	0.85032	63.07151	68.66427	25.05781	86.08323	84.08844	71.10119	4.38494	52.17979	22.76453	86.45516	75.66146	20.17109	21.68977	59.15225	
k__Bacteria|p__Firmicutes	63.33739	50.69366	58.01301	39.67287	57.84666	80.66412	80.32564	43.13474	44.10083	85.2132	83.02863	87.51733	51.91861	70.36935	77.86072	70.61528	93.13197	88.73011	80.18018	50.69366	64.05322	39.68294	94.83221	83.80067	39.67993	78.99684	66.8664	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	0.00607	0	0	0.00145	0	0	0	0	0.00264	0	0	0	0	0.01355	0	0	0.00931	0	0	0	0	0	0.08086	0	0	0	0	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Enterorhabdus|s__Enterorhabdus_caecimuris	0.50804	1.89078	0.62878	1.75141	2.47812	1.30697	1.00747	0.52308	1.27404	1.31896	0.34939	1.1505	1.65252	0.47227	0.60394	3.19915	1.77666	0.30872	0.565	1.89078	1.23958	1.06318	1.35646	1.53455	1.79077	3.01188	0.52225	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	0	0	0	0	0	0	0	0.05956	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
k__Bacteria|p__Bacteroidetes	12.80729	30.16754	34.38669	7.86762	15.98418	10.37115	11.84458	38.74051	5.85958	7.10253	5.71412	5.09394	29.11551	17.55968	9.85977	11.38397	4.69226	8.73154	13.03562	30.16754	15.68753	40.86257	3.51378	6.43843	29.30769	8.78613	18.49261	
